concept_id,korean_pattern,english_pattern,korean_example,english_example,japanese_example,chinese_example,spanish_example
technology_apple_software,딸기 사용하기,Using apple,저는 딸기를 좋아해요,I like apple,私はりんごが好きです,我喜欢草莓,Me gusta fresa
technology_laptop_computer,노트북 사용하기,Using laptop,저는 노트북를 좋아해요,I like laptop,私はキーボードが好きです,我喜欢键盘,Me gusta computadora
shopping_strawberry_store,바나나 사용하기,Using strawberry,저는 바나나를 좋아해요,I like strawberry,私はいちごが好きです,我喜欢香蕉,Me gusta manzana
daily_goodbye_greeting,좋은 아침 사용하기,Using goodbye,저는 좋은 아침를 좋아해요,I like goodbye,私はさようならが好きです,我喜欢再见,Me gusta buenos días
daily_hello_greeting,안녕히 가세요 사용하기,Using hello,저는 안녕히 가세요를 좋아해요,I like hello,私はおはようが好きです,我喜欢早上好,Me gusta adiós
travel_pear_direction,배 사용하기,Using pear,저는 배를 좋아해요,I like pear,私はぶどうが好きです,我喜欢甜瓜,Me gusta uva
daily_nice_to_meet_you_greeting,어서 오세요 사용하기,Using nice to meet you,저는 어서 오세요를 좋아해요,I like nice to meet you,私はいらっしゃいませが好きです,我喜欢欢迎,Me gusta buenas noches
work_peach_meeting,복숭아 사용하기,Using peach,저는 복숭아를 좋아해요,I like peach,私はバナナが好きです,我喜欢桃子,Me gusta pera
shopping_kiwi_payment,오렌지 사용하기,Using kiwi,저는 오렌지를 좋아해요,I like kiwi,私はなしが好きです,我喜欢葡萄,Me gusta sandía
travel_melon_direction,포도 사용하기,Using melon,저는 포도를 좋아해요,I like melon,私はすいかが好きです,我喜欢猕猴桃,Me gusta durazno
